anyo,mes,dia,marca,modelo,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,body_type,count
2026,07,30,RENAULT,KANGOO,42,Soria,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,TOYOTA,YARIS,42,Soria,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2026,07,30,AUDI,A3,43,Tarragona,Private,ICE,UKL2,FOCUS SEGMENT,Standard,HACH 5P,1
2026,07,30,AUDI,Q5,43,Tarragona,Private,PHEV,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,AUDI,Q5 SPORTBACK,43,Tarragona,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,BAW,212 T01,43,Tarragona,Corporate,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,BMW,SERIE 1,43,Tarragona,Private,ICE,UKL2,FOCUS SEGMENT,Standard,HACH 5P,1
2026,07,30,BMW,X1,43,Tarragona,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,BMW,X2,43,Tarragona,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,07,30,CHANGAN,DEEPAL S05,43,Tarragona,Corporate,BEV,UKL2,REST,Standard,HACH 5P,1
2026,07,30,CHANGAN,DEEPAL S05,43,Tarragona,Private,BEV,UKL2,REST,Standard,HACH 5P,2
2026,07,30,CHANGAN,DEEPAL S05,43,Tarragona,Private,PHEV,UKL2,REST,Standard,HACH 5P,2
2026,07,30,CITROEN,BERLINGO,43,Tarragona,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,CITROEN,BERLINGO,43,Tarragona,Private,BEV,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,CITROEN,BERLINGO,43,Tarragona,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,CITROEN,C3,43,Tarragona,Private,BEV,UKL1,REST,Standard,HACH 5P,3
2026,07,30,CITROEN,C3,43,Tarragona,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2026,07,30,CITROEN,C5 AIRCROSS,43,Tarragona,Private,ICE,UKL2,REST,Standard,SAV,1
2026,07,30,CITROEN,JUMPER,43,Tarragona,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,CITROEN,JUMPY,43,Tarragona,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,30,CUPRA,FORMENTOR,43,Tarragona,Private,ICE,UKL2,REST,Standard,SAT,1
