anyo,mes,dia,marca,modelo,canal,fuel_type,fuel,segmento,subseg,hp,body_type,count
2026,06,19,KIA,PV5,Corporate,BEV,Electrico,SKL,REST,Standard,TRANSPORTER,1
2026,06,19,KIA,PV5,Private,BEV,Electrico,SKL,REST,Standard,TRANSPORTER,2
2026,06,19,KIA,SORENTO,Corporate,ICE,Gasolina/Electrico Enchufable,KKL,REST,Standard,SAV,2
2026,06,19,KIA,SPORTAGE,Corporate,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,17
2026,06,19,KIA,SPORTAGE,Private,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,44
2026,06,19,KIA,SPORTAGE,Private,PHEV,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,1
2026,06,19,KIA,STONIC,Corporate,ICE,Gasolina Mild Hybrid,UKL1,REST,Standard,SAV,31
2026,06,19,KIA,STONIC,Private,ICE,Gasolina Mild Hybrid,UKL1,REST,Standard,SAV,20
2026,06,19,KIA,XCEED,Corporate,ICE,Gasolina Mild Hybrid,UKL2,REST,Standard,HACH 5P,3
2026,06,19,KIA,XCEED,Private,ICE,Gasolina Mild Hybrid,UKL2,REST,Standard,HACH 5P,35
2026,06,19,LAMBORGHINI,URUS,Private,PHEV,Gasolina/Electrico Enchufable,GKL+,FOCUS SEGMENT,Standard,SAV,2
2026,06,19,LANCIA,YPSILON,Corporate,ICE,Gasolina Mild Hybrid,UKL1,REST,Standard,HACH 5P,4
2026,06,19,LAND ROVER,DEFENDER,Corporate,ICE,Gasolina/Electrico Enchufable,MKL,FOCUS SEGMENT,Standard,SUV,2
2026,06,19,LAND ROVER,DEFENDER,Private,ICE,Gasolina/Electrico Enchufable,MKL,FOCUS SEGMENT,Standard,SUV,1
2026,06,19,LAND ROVER,RANGE ROVER EVOQUE,Corporate,PHEV,Gasolina/Electrico Enchufable,UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,06,19,LAND ROVER,RANGE ROVER SPORT,Corporate,ICE,Gasolina/Electrico Enchufable,MKL,FOCUS SEGMENT,Standard,SAV,1
2026,06,19,LAND ROVER,RANGE ROVER SPORT,Corporate,PHEV,Gasolina/Electrico Enchufable,MKL,FOCUS SEGMENT,Standard,SAV,2
2026,06,19,LAND ROVER,RANGE ROVER SPORT,Private,ICE,Gasolina/Electrico Enchufable,MKL,FOCUS SEGMENT,Standard,SAV,1
2026,06,19,LEAPMOTOR,B10,Corporate,BEV,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,3
2026,06,19,LEAPMOTOR,B10,Private,BEV,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,30
2026,06,19,LEAPMOTOR,C10,Corporate,BEV,Gasolina/Electrico Enchufable,MKL,REST,Standard,SAV,1
2026,06,19,LEAPMOTOR,C10,Private,BEV,Gasolina/Electrico Enchufable,MKL,REST,Standard,SAV,4
