brand,version_dgt,model,segment,subsegment,high_perf,body_type,fuel,fuel_type
BMW,U06 218I,SERIE 2,UKL2,FOCUS SEGMENT,Standard,SAT,Gasolina,ICE
BMW,U06 220D,SERIE 2,UKL2,FOCUS SEGMENT,Standard,SAT,Diesel Mild Hybrid,ICE
BMW,U06 220I,SERIE 2,UKL2,FOCUS SEGMENT,Standard,SAT,Gasolina Mild Hybrid,ICE
BMW,U06 225E XDRIVE,SERIE 2,UKL2,FOCUS SEGMENT,Standard,SAT,Gasolina/Electrico Enchufable,PHEV
BMW,U06 230E XDRIVE,SERIE 2,UKL2,FOCUS SEGMENT,Standard,SAT,Gasolina/Electrico Enchufable,PHEV
BMW,U10 IX2 EDRIVE20,IX2,UKL2,FOCUS SEGMENT,Standard,SAV,Electrico,BEV
BMW,U10 IX2 XDRIVE30,IX2,UKL2,FOCUS SEGMENT,Standard,SAV,Electrico,BEV
BMW,U10 X2 M35I XDRIVE,X2,UKL2,FOCUS SEGMENT,M Performance,SAV,Gasolina Mild Hybrid,ICE
BMW,U10 X2 SDRIVE18D,X2,UKL2,FOCUS SEGMENT,Standard,SAV,Diesel,ICE
BMW,U10 X2 SDRIVE20D,X2,UKL2,FOCUS SEGMENT,Standard,SAV,Diesel Mild Hybrid,ICE
BMW,U10 X2 SDRIVE20I,X2,UKL2,FOCUS SEGMENT,Standard,SAV,Gasolina Mild Hybrid,ICE
BMW,U10 X2 XDRIVE20D,X2,UKL2,FOCUS SEGMENT,Standard,SAV,Diesel Mild Hybrid,ICE
BMW,U11 IX1 EDRIVE 20,IX1,UKL2,FOCUS SEGMENT,Standard,SAV,Electrico,BEV
BMW,U11 IX1 XDRIVE 30,IX1,UKL2,FOCUS SEGMENT,Standard,SAV,Electrico,BEV
BMW,U11 X1 M35I XDRIVE,X1,UKL2,FOCUS SEGMENT,M Performance,SAV,Gasolina,ICE
BMW,U11 X1 SDRIVE18D,X1,UKL2,FOCUS SEGMENT,Standard,SAV,Diesel,ICE
BMW,U11 X1 SDRIVE18I,X1,UKL2,FOCUS SEGMENT,Standard,SAV,Gasolina,ICE
BMW,U11 X1 SDRIVE20D,X1,UKL2,FOCUS SEGMENT,Standard,SAV,Diesel Mild Hybrid,ICE
BMW,U11 X1 SDRIVE20I,X1,UKL2,FOCUS SEGMENT,Standard,SAV,Gasolina Mild Hybrid,ICE
BMW,U11 X1 XDRIVE20D,X1,UKL2,FOCUS SEGMENT,Standard,SAV,Diesel Mild Hybrid,ICE
BMW,U11 X1 XDRIVE25E A,X1,UKL2,FOCUS SEGMENT,Standard,SAV,Gasolina/Electrico Enchufable,PHEV
BMW,U11 X1 XDRIVE30E A,X1,UKL2,FOCUS SEGMENT,Standard,SAV,Gasolina/Electrico Enchufable,PHEV
BYD,ACTIVE 204 CV 60 KWH,ATTO 3,UKL2,REST,Standard,SAV,Electrico,BEV
BYD,COMFORT,DOLPHIN,UKL1,REST,Standard,HACH 5P,Electrico,BEV
BYD,COMFORT 204 CV 60 KWH,ATTO 3,UKL2,REST,Standard,SAV,Electrico,BEV
BYD,DESIGN,DOLPHIN,UKL1,REST,Standard,HACH 5P,Electrico,BEV
BYD,DESIGN 204 CV 60 KWH,ATTO 3,UKL2,REST,Standard,SAV,Electrico,BEV
BYD,ETP3 STANDARD,ETP3,SKL,REST,Standard,TRANSPORTER,Electrico,BEV
BYD,HAN AWD ESMERALD EDTION,HAN,MKL,REST,Standard,SEDAN,Electrico,BEV
BYD,HAN AWD EXECUTIVE,HAN,MKL,REST,Standard,SEDAN,Electrico,BEV
BYD,SEAL DESIGN,SEAL,KKL,REST,Standard,SEDAN,Electrico,BEV
BYD,SEAL EXCELLENCE AWD,SEAL,KKL,REST,Standard,SEDAN,Electrico,BEV
BYD,SEAL U COMFORT,SEAL U,KKL,REST,Standard,SAV,Electrico,BEV
BYD,SEAL U DESIGN,SEAL U,KKL,REST,Standard,SAV,Electrico,BEV
BYD,SEAL U DM-I BOOST,SEAL U,KKL,REST,Standard,SAV,Gasolina/Electrico Enchufable,PHEV
BYD,SEAL U DM-I COMFORT,SEAL U,KKL,REST,Standard,SAV,Gasolina/Electrico Enchufable,PHEV
BYD,SEAL U DM-I DESIGN,SEAL U,KKL,REST,Standard,SAV,Gasolina/Electrico Enchufable,PHEV
BYD,SEALION 7 COMFORT,SEALION 7,UKL2,REST,Standard,SAV,Electrico,BEV
BYD,TANG,TANG,KKL,REST,Standard,SAV,Electrico,BEV
