BRAND,SUB_MODEL_NAME,SUB_MODEL_SHORT,IHS_CODE_SUBMODEL,GENERATION_YEAR,IHS_BODY_GROUP,BMW_CLASSIFICATION,BMW_REGIONAL_C1,BMW_SEGMENT,BMW_CONCEPT,BMW_SUB_CONCEPT
SEAT,SEAT TOLEDO,TOLEDO,SENC,2012.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
SHOUWANG,SHOUWANG ELANTRA,ELANTRA,U8EL,2012.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
HONGQI,HONGQI (RED FLAG) H7,H7,H5H5,2012.0,SEDAN,NEAR PREMIUM,REST,MKL,SEDAN,SEDAN
MB TRUCK,MB TRUCK ANTOS,ANTOS,431S,2012.0,TRUCK,BASE,REST,SKL,TRUCK,TRUCK
ZOTYE,ZOTYE A3,A3,J8A3,2012.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
KANDI,KANDI K11,K11,9KKK,2012.0,HATCHBACK,BASE,REST,UKL0,HATCH,HATCH
JONWAY,JONWAY PARACAS,PARACAS,F9PA,2012.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
ROEWE,ROEWE 950,950,RW95,2012.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
RENAULT,RENAULT ZOE,ZOE,REE2,2012.0,HATCHBACK,BASE,REST,UKL1,HATCH,HATCH
ROEWE,ROEWE E50,E50,RWE5,2012.0,HATCHBACK,BASE,REST,UKL0,HATCH,HATCH
RENAULT,RENAULT TALISMAN,TALISMAN,RETA,2012.0,WAGON,BASE,REST,MKL,ESTATE,ESTATE
DONGFENG,DONGFENG/DFM JUNFENG CV03,JUNFENG CV03,QDJ3,2012.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
DONGFENG,DONGFENG/DFM LINGZHI M3/M5,LINGZHI M3/M5,QDLI,2012.0,MPV,BASE,REST,KKL,MPV,MPV
MAZDA,MAZDA ATENZA,ATENZA,MZ6B,2012.0,WAGON,BASE,REST,KKL,ESTATE,ESTATE
