BRAND,SUB_MODEL_SHORT,IHS_CODE_SUBMODEL,GENERATION_YEAR,IHS_BODY_GROUP,BMW_CLASSIFICATION,BMW_REGIONAL_C1,BMW_SEGMENT,BMW_CONCEPT,BMW_SUB_CONCEPT
NISSAN,B-CUV,NI08,,SUV,BASE,REST,UKL1,SAV,SAV
NISSAN,B-CUV EV,NI0B,,SUV,BASE,REST,UKL1,SAV,SAV
NISSAN,BIDA,NIBI,,CAR UTILITY,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
NISSAN,B-MPV,NI07,,MPV,BASE,REST,UKL1,MPV,MPV
NISSAN,B-MPV (B13B(2)),NI!1,,MPV,BASE,REST,UKL1,MPV,MPV
NISSAN,B-SEDAN,NI06,,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
NISSAN,B-VAN EV,NIB2,,CAR UTILITY,BASE,REST,UKL1,TRANSPORTER,TRANSPORTER
NISSAN,C-CUV,NI0C,,SUV,BASE,REST,UKL2,SAV,SAV
NISSAN,C-CUV EV,NI!#,,SUV,BASE,REST,UKL2,SAV,SAV
NISSAN,CIVILIAN,NICI,,BUS,BASE,REST,SKL,BUS,BUS
NISSAN,C-PICKUP,NI0E,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
NISSAN,C-PICKUP EV,NI0L,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
NISSAN,C-SEDAN EV,NI05,,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
NISSAN,C-SUV,NI!!,,SUV,BASE,REST,UKL2,SAV,SAV
NISSAN,C-SUV EV,NI1K,,SUV,BASE,REST,UKL2,SAV,SAV
NISSAN,DATSUN,NIDA,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
NISSAN,DATSUN TRUCK,NITK,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
