anyo,mes,marca,canal,fuel_type,count
2026,06,CITROEN,RAC,BEV,24
2026,06,CITROEN,RAC,ICE,939
2026,06,COCAR,Corporate,ICE,1
2026,06,COCAR,RAC,ICE,1
2026,06,CODETRANS,Corporate,ICE,25
2026,06,CODETRANS,RAC,ICE,5
2026,06,COINPOL,Corporate,ICE,48
2026,06,COINPOL,RAC,ICE,37
2026,06,COMPOSITES REFORZADOS,Corporate,ICE,3
2026,06,COMPOSITES REFORZADOS,RAC,ICE,4
2026,06,CONCORDE,Private,ICE,1
2026,06,CONSA,Corporate,ICE,1
2026,06,COOLGADES,Corporate,ICE,1
2026,06,COOLGADES,Private,ICE,2
2026,06,COOLGADES,RAC,ICE,2
2026,06,CORVUS,Corporate,BEV,1
2026,06,CORVUS,Corporate,ICE,10
2026,06,CORVUS,Private,ICE,2
2026,06,CRASTIR,Corporate,ICE,2
2026,06,CTE,RAC,ICE,2
2026,06,CUPRA,Corporate,BEV,206
2026,06,CUPRA,Corporate,ICE,874
2026,06,CUPRA,Corporate,PHEV,455
2026,06,CUPRA,Private,BEV,258
2026,06,CUPRA,Private,ICE,440
2026,06,CUPRA,Private,PHEV,140
2026,06,CUPRA,RAC,ICE,748
2026,06,CUPRA,RAC,PHEV,132
2026,06,DACIA,Corporate,BEV,11
2026,06,DACIA,Corporate,ICE,976
2026,06,DACIA,Private,BEV,14
2026,06,DACIA,Private,ICE,4962
2026,06,DACIA,RAC,BEV,2
2026,06,DACIA,RAC,ICE,999
2026,06,DANGEL,Corporate,ICE,1
2026,06,DEEPAL,Corporate,BEV,37
2026,06,DEEPAL,Corporate,PHEV,1
2026,06,DEEPAL,Private,BEV,324
2026,06,DELTRAIN,Corporate,BEV,1
2026,06,DENZA,Corporate,BEV,5
2026,06,DETHLEFFS,Corporate,ICE,3
2026,06,DETHLEFFS,Private,ICE,19
2026,06,DETHLEFFS,RAC,ICE,7
2026,06,DEUTZ-FAHR,Private,ICE,1
2026,06,DFSK,Corporate,BEV,9
2026,06,DFSK,Corporate,ICE,4
2026,06,DFSK,Corporate,PHEV,3
2026,06,DFSK,Private,ICE,1
2026,06,DFSK,Private,PHEV,7
2026,06,DIGAL,Corporate,ICE,5
2026,06,DIGAL,Private,ICE,3
2026,06,DONGFENG,Corporate,BEV,6
2026,06,DONGFENG,Private,BEV,7
2026,06,DONOSO,Corporate,ICE,1
2026,06,DR,Corporate,ICE,6
2026,06,DR,Private,ICE,15
2026,06,DR,RAC,ICE,62
2026,06,DREAM,RAC,ICE,2
2026,06,DREAMER,Private,ICE,2
2026,06,DS,Corporate,BEV,2
2026,06,DS,Corporate,ICE,172
2026,06,DS,Corporate,PHEV,12
2026,06,DS,Private,ICE,22
2026,06,DS,Private,PHEV,7
2026,06,DS,RAC,ICE,11
2026,06,DS AUTOMOBILES,Corporate,BEV,7
2026,06,DS AUTOMOBILES,Corporate,ICE,11
2026,06,DS AUTOMOBILES,Private,BEV,4
2026,06,DS AUTOMOBILES,Private,ICE,5
2026,06,DS AUTOMOBILES,Private,PHEV,1
2026,06,DS AUTOMOBILES,RAC,ICE,66
2026,06,DSK,Corporate,ICE,3
2026,06,E-TUK FACTORY,Corporate,BEV,1
2026,06,E-TUK FACTORY,Private,BEV,1
2026,06,EBRO,Corporate,ICE,97
2026,06,EBRO,Corporate,PHEV,80
2026,06,EBRO,Private,ICE,962
2026,06,EBRO,Private,PHEV,454
2026,06,EBRO,RAC,ICE,51
2026,06,ECOAUTO,RAC,ICE,14
2026,06,ECOGAM,Corporate,ICE,1
2026,06,EDWARD DAVIES COMMERCIALS LTD,Corporate,ICE,8
2026,06,EGA,Corporate,ICE,2
2026,06,ELNAGH,Corporate,ICE,1
2026,06,ELNAGH,Private,ICE,8
2026,06,ELNAGH,RAC,ICE,4
2026,06,EQUIPFRED,Corporate,ICE,14
2026,06,EQUIPFRED,Private,ICE,2
2026,06,EQUIPFRED,RAC,ICE,2
2026,06,ERJOMA,Corporate,ICE,3
2026,06,ERJOMA,RAC,ICE,2
2026,06,ERKE,Corporate,BEV,23
2026,06,ERKE,Corporate,ICE,230
2026,06,ERKE,Corporate,PHEV,2
2026,06,ERROBITRAK,Corporate,ICE,1
2026,06,ESCARDA,Corporate,ICE,2
2026,06,ESMI,Corporate,ICE,3
2026,06,ESMI,Private,ICE,1
2026,06,ESQUERDA,Corporate,ICE,1
2026,06,ESTESO,Corporate,ICE,1
2026,06,ETRUSCO,Private,ICE,2
2026,06,ETRUSCO,RAC,ICE,2
2026,06,ETXEBERRIA,Corporate,ICE,2
2026,06,EURA MOBIL,Private,ICE,1
2026,06,EUROCARROCERA,Corporate,ICE,166
