marca,canal,old_dgt,new_dgt,simmix,old_delta,new_delta,delta_change
CFMOTO,Private,0,980,0,0,980,980
CFMOTO,RAC,0,65,0,0,65,65
CHALLENGER,Corporate,0,14,0,0,14,14
CHALLENGER,Private,0,690,0,0,690,690
CHALLENGER,RAC,0,112,0,0,112,112
CHAPINSA,Corporate,0,11,0,0,11,11
CHAPINSA,RAC,0,4,0,0,4,4
CHAPISTERIA V.I.,Corporate,0,64,0,0,64,64
CHAPISTERIA V.I.,Private,0,3,0,0,3,3
CHAPISTERIA V.I.,RAC,0,55,0,0,55,55
CHATENET,Private,0,3,0,0,3,3
CHAUSSON,Private,0,2,0,0,2,2
CHAUSSON,RAC,0,1,0,0,1,1
CHERY,Corporate,0,1,0,0,1,1
CHERY,RAC,0,1,0,0,1,1
CHESH,Corporate,0,2,0,0,2,2
CHEVROLET,Corporate,0,66,0,0,66,66
CHEVROLET,Private,0,25,0,0,25,25
CHEVROLET,RAC,0,1,0,0,1,1
CHRYSLER,Corporate,0,11,0,0,11,11
CHRYSLER,Private,0,3,0,0,3,3
CHT,Corporate,0,262,0,0,262,262
CHT,RAC,0,1,0,0,1,1
CI,Corporate,0,3,0,0,3,3
CI,Private,0,55,0,0,55,55
CI,RAC,0,68,0,0,68,68
CIBAD,Corporate,0,6,0,0,6,6
CIBAD,Private,0,1,0,0,1,1
CIBAD,RAC,0,10,0,0,10,10
CIC SPAIN,Corporate,0,5,0,0,5,5
CIC SPAIN,Private,0,1,0,0,1,1
CICLOPE,Private,0,1,0,0,1,1
CICLOPE,RAC,0,6,0,0,6,6
CIF,Corporate,0,3,0,0,3,3
CIF,Private,0,1,0,0,1,1
CISVAN,Corporate,0,1,0,0,1,1
CISVAN,Private,0,2,0,0,2,2
CISVAN CARROCERIAS,Private,0,1,0,0,1,1
CISVAN CARROCERIAS,RAC,0,1,0,0,1,1
CITROEN,Corporate,89729,93485,93486,-3757,-1,3756
CITROEN,Private,44519,40763,43504,1015,-2741,-3756
CITROEN,RAC,38094,38094,37743,351,351,0
CITROEN/BURSTNER,Private,0,1,0,0,1,1
CITROEN/ERKE,Corporate,0,2,0,0,2,2
CITROËN,Private,0,2,0,0,2,2
CLAAS,Corporate,0,2,0,0,2,2
CLAAS,Private,0,1,0,0,1,1
CLUB CAR,Corporate,0,0,9,-9,-9,0
CLUB CAR,Private,0,0,0,0,0,0
CLUB CAR,RAC,0,0,0,0,0,0
